step,s1_m,Fx1_uN,Fy1_uN,F1_uN,s2_m,Fx2_uN,Fy2_uN,F2_uN,s3_m,Fx3_uN,Fy3_uN,F3_uN,s4_m,Fx4_uN,Fy4_uN,F4_uN,s5_m,Fx5_uN,Fy5_uN,F5_uN,s6_m,Fx6_uN,Fy6_uN,F6_uN,s7_m,Fx7_uN,Fy7_uN,F7_uN
75,0,0,5.7757023,5.7757023,0.0075,-6.8005949,24.086006,25.027661,0.015,-7.3941759,13.669027,15.540789,0.02,-11.697161,26.64768,29.101931,0.03,-19.962133,4.1705389,20.39314,0.04,-20.809385,18.952209,28.146345,0.05,-9.965082,5.6891067,11.474702
76,0,0,5.7790347,5.7790347,0.0075,-6.9318731,24.662339,25.617998,0.015,-7.3282644,13.465564,15.330521,0.02,-11.950825,27.285981,29.78837,0.03,-18.087724,3.7560443,18.473593,0.04,-20.101061,18.318311,27.19583,0.05,-7.8929218,4.4152219,9.0439151
77,0,0,5.7821245,5.7821245,0.0075,-6.0465731,21.626207,22.455598,0.015,-7.9803802,14.575911,16.617571,0.02,-10.450706,23.928549,26.111161,0.03,-20.383377,4.1842433,20.80841,0.04,-20.424866,18.634385,27.648064,0.05,-7.8465551,4.3026229,8.9487983
78,0,0,5.7849706,5.7849706,0.0075,-6.3454302,22.8326,23.697935,0.015,-6.8341984,12.408036,14.16565,0.02,-10.996728,25.266394,27.555738,0.03,-18.493208,3.7315438,18.865926,0.04,-20.094337,18.363465,27.221301,0.05,-9.0377249,4.8600157,10.26159
79,0,0,5.7875723,5.7875723,0.0075,-5.985836,21.686675,22.497602,0.015,-7.4047011,13.364183,15.278449,0.02,-10.403322,24.002429,26.160002,0.03,-19.138354,3.7730631,19.506732,0.04,-19.834481,18.166671,26.896739,0.05,-7.4488631,3.9298365,8.4219461
80,0,0,5.7899286,5.7899286,0.0075,-6.5512122,23.91826,24.799224,0.015,-6.783638,12.171234,13.934012,0.02,-11.420734,26.478283,28.836307,0.03,-19.706196,3.7708097,20.063727,0.04,-20.936601,19.230746,28.428205,0.05,-8.9486386,4.633678,10.077158
81,0,0,5.7920388,5.7920388,0.0075,-6.4256208,23.66162,24.518582,0.015,-7.79625,13.906373,15.94267,0.02,-11.238134,26.201589,28.509979,0.03,-20.159046,3.7163785,20.498746,0.04,-20.950012,19.310151,28.49184,0.05,-7.3705869,3.7474056,8.2685307
82,0,0,5.7939023,5.7939023,0.0075,-5.8909062,21.89934,22.677828,0.015,-7.4166084,13.152561,15.099534,0.02,-10.338341,24.258458,26.369567,0.03,-21.244983,3.7411918,21.571875,0.04,-20.641,19.104443,28.125266,0.05,-7.7191719,3.8550615,8.6282741
83,0,0,5.7955186,5.7955186,0.0075,-6.0038018,22.553278,23.338723,0.015,-7.2750976,12.827526,14.746947,0.02,-10.57471,24.992984,27.138049,0.03,-19.964682,3.3245049,20.239586,0.04,-19.939564,18.545047,27.230589,0.05,-9.7028341,4.761681,10.808265
84,0,0,5.796887,5.796887,0.0075,-6.804108,25.853604,26.733962,0.015,-7.5860827,13.299783,15.311201,0.02,-12.030151,28.663828,31.086003,0.03,-19.060223,2.9645746,19.289396,0.04,-20.042536,18.745467,27.442591,0.05,-8.287836,3.9982499,9.20186
